name,RA,DEC,grade,probability,region,tractor_type,ref,cutout_ok,our_p_resnet,our_p_effnet,our_p_meta,our_p_avg
DESI-020.6137-36.9074,20.61367331,-36.90740852,B,0.99,DECaLS,SER,i,True,0.9980159,0.99926716,0.99974316,0.9986415207386017
DESI-020.7183-18.2466,20.71832624,-18.24664809,B,0.99,DECaLS,REX,,True,0.6011164,0.8758411,0.9515287,0.7384787499904633
DESI-020.8675-58.7780,20.86746108,-58.77798888,B,0.5,DECaLS,SER,,True,0.15229158,0.9899565,0.8971429,0.5711240395903587
DESI-021.0585-40.2053,21.0585262,-40.20529605,B,0.58,DECaLS,SER,,True,0.005288267,0.6963983,0.055755306,0.3508432924281806
DESI-021.3379-15.4238,21.3378748,-15.42383545,B,0.99,DECaLS,SER,,True,0.99776316,0.99996746,0.99974376,0.9988653063774109
DESI-021.3608-49.6276,21.36081787,-49.62759522,B,0.89,DECaLS,REX,,True,0.95601225,0.9345006,0.99931777,0.9452564120292664
DESI-021.8552-61.4857,21.85523923,-61.48572215,B,0.99,DECaLS,SER,,True,0.99943703,0.99999905,0.9997489,0.99971804022789
DESI-022.6104-15.3370,22.61042637,-15.33695806,B,1.0,DECaLS,SER,i n,True,0.9997216,0.99999917,0.9997497,0.9998603761196136
DESI-022.6106-50.9562,22.61064986,-50.95617292,B,0.97,DECaLS,SER,,True,0.9945134,0.9999995,0.9997336,0.9972564578056335
DESI-023.0060-62.5970,23.00604564,-62.59704784,B,0.48,DECaLS,DEV,,True,0.8550181,0.6732172,0.988998,0.7641176283359528
