RA,DEC,source,is_new,Name,status,flux_std
32.89275,-2.63121,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.8927-02.6312,ok,0.018561728298664093
32.96555,-3.35142,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.9656-03.3514,ok,0.01092581171542406
32.9739,-3.1947,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.9739-03.1947,ok,0.042601149529218674
33.00383,-4.13524,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.0038-04.1352,ok,0.01373686920851469
33.00455,-4.32293,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.0046-04.3229,ok,0.007296817842870951
33.01024,-4.37058,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.0102-04.3706,ok,0.007330700289458036
33.0358,-2.4651,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.0358-02.4651,ok,0.017434027045965195
33.10106,-2.57513,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.1011-02.5751,ok,0.007348664570599794
33.14113,-6.20284,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.1411-06.2028,ok,0.02112436480820179
33.15327,-2.52448,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.1533-02.5245,ok,0.015358008444309235
33.15785,-3.75128,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.1579-03.7513,ok,0.01516091451048851
33.17133,-1.6832,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.1713-01.6832,ok,0.17547321319580078
33.24061,-3.26442,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.2406-03.2644,ok,0.025982292369008064
33.24243,-5.30277,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.2424-05.3028,ok,0.01711193472146988
33.2519,-3.7842,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.2519-03.7842,ok,0.03898294270038605
33.33728,-6.10805,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.3373-06.1081,ok,0.014079146087169647
33.39375,-2.1582,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.3937-02.1582,ok,0.015454493463039398
33.46332,-4.83092,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.4633-04.8309,ok,0.12990917265415192
33.48635,-5.14885,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.4864-05.1489,ok,0.007221901789307594
33.5333,-2.1079,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.5333-02.1079,ok,0.013404857367277145
33.5337,-5.5923,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.5337-05.5923,ok,0.028002936393022537
33.54483,-6.09371,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.5448-06.0937,ok,0.006288469303399324
33.54994,-3.19179,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.5499-03.1918,ok,0.01588745228946209
33.5467,-4.08411,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.5467-04.0841,ok,0.01601896993815899
33.5687,-5.0548,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.5687-05.0548,ok,0.011643167585134506
33.60893,-2.23285,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.6089-02.2329,ok,0.06590624153614044
33.6119,-5.6623,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.6119-05.6623,ok,0.011920468881726265
33.71407,-2.20024,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.7141-02.2002,ok,0.008757827803492546
33.78316,-1.72584,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.7832-01.7258,ok,0.010630374774336815
33.797,-5.0608,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.7970-05.0608,ok,0.011118338443338871
33.82813,-2.66307,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.8281-02.6631,ok,0.012078369967639446
33.83015,-3.80306,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.8302-03.8031,ok,0.006231729406863451
33.8725,-4.6819,Sonnenfeld2020_SuGOHI_VI,True,DESI-033.8725-04.6819,ok,0.040165290236473083
