name,ra,dec,catalog,survey_key,p_meta
s_23939_5793,249.77791991679047,-68.15425405681339,dr11,dr11,0.7726117
s_489348_4530,348.3314847245339,28.55093469456618,dr11,dr11,0.77232647
s_370040_4759,214.39980095454248,6.663574627829915,dr11,dr11,0.7720701
s_94898_7968,35.176285905599144,-45.50075580647682,dr11,dr11,0.77179635
s_246803_5251,132.13216506484923,-14.861201339590531,dr11,dr11,0.7713302
s_325507_6484,224.9881063516617,-0.922982815636417,dr11,dr11,0.7712638
s_21834_8821,252.7434070354556,-69.18921618269374,dr11,dr11,0.77125454
s_139262_8824,206.60750332729404,-35.45239276039977,dr11,dr11,0.77121586
s_30422_2845,13.21342992809457,-65.22755469573552,dr11,dr11,0.77109694
s_318983_8250,33.968198010260835,-1.9740922153620528,dr11,dr11,0.7706569
s_334493_7909,311.47720824692504,0.5301289567618033,dr11,dr11,0.7706124
s_106248_8747,22.70693785166853,-42.81136539892749,dr11,dr11,0.7705419
s_168966_494,349.7065339073762,-29.51347693453432,dr11,dr11,0.76993895
s_284588_2957,44.95088922699666,-8.079485047185244,dr11,dr11,0.7696691
s_204169_8722,49.16182888675282,-22.60926947526667,dr11,dr11,0.769545
s_340513_3688,16.331871224683365,1.749021403215644,dr11,dr11,0.76935786
