[setup] rank=0/1 device=cuda approach=a steps=10000 mask_ratio=0.5 redshift_weight=50.0
[data] loading manifest /raid/benson/data/desi_dr1_medium/manifest.jsonl
[data] 373 healpix records
[data] healpix split: 354 train, 19 val (frac=0.05)
[tok] loading spectrum tokenizer /raid/benson/data/desi_dr1_medium/checkpoints/tokenizer_v1_large/best.pt (kind=v1)
[tok] fitting redshift tokenizer on up to 200 redrock files
[tok]   gathered 265687 z values, min=-0.0019 max=5.6786
[step   6300] loss=249.7453 z_loss=4.856 spec_loss=2.088 z_acc=0.000 spec_acc=0.430 masked_acc=0.426 rz_masked_acc=0.000 mask_r2=0.732 mask_auc=nan all_r2=0.726 all_auc=nan 0.5 step/s
[step   6400] loss=205.0058 z_loss=3.975 spec_loss=2.222 z_acc=0.053 spec_acc=0.385 masked_acc=0.376 rz_masked_acc=0.000 mask_r2=0.704 mask_auc=nan all_r2=0.709 all_auc=nan 0.5 step/s
[step   6500] loss=205.5509 z_loss=3.989 spec_loss=2.129 z_acc=0.091 spec_acc=0.418 masked_acc=0.422 rz_masked_acc=0.000 mask_r2=0.720 mask_auc=nan all_r2=0.721 all_auc=nan 0.5 step/s
[val     6500] loss=215.8484 overall_acc=0.4331 redshift_acc=0.0243 spectrum_acc=0.4346 loss_redshift=4.1929 loss_spectrum=2.0358 loss_total=2.0437 masked_spec_acc=0.4320 redshift_acc_masked=0.0128 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=215.8484 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_phase10_xlarge_seed12345/best.pt
  [ar_best   6500] ar_redshift_acc=0.02040816326530612 ar_spectrum_acc=0.15483665993870074 ar_mean_mask_auc=nan ar_masked_spec_r2=nan ar_all_mean_auc=nan ar_all_spec_r2=nan n_samples=196
[step   6600] loss=220.6110 z_loss=4.282 spec_loss=2.251 z_acc=0.000 spec_acc=0.379 masked_acc=0.375 rz_masked_acc=0.000 mask_r2=0.704 mask_auc=nan all_r2=0.705 all_auc=nan 0.4 step/s
[step   6700] loss=192.0936 z_loss=3.727 spec_loss=1.970 z_acc=0.167 spec_acc=0.429 masked_acc=0.427 rz_masked_acc=0.250 mask_r2=0.738 mask_auc=nan all_r2=0.742 all_auc=nan 0.4 step/s
[step   6800] loss=211.2951 z_loss=4.102 spec_loss=2.159 z_acc=0.043 spec_acc=0.377 masked_acc=0.370 rz_masked_acc=0.000 mask_r2=0.712 mask_auc=nan all_r2=0.717 all_auc=nan 0.4 step/s
[step   6900] loss=213.2142 z_loss=4.143 spec_loss=1.945 z_acc=0.000 spec_acc=0.456 masked_acc=0.450 rz_masked_acc=0.000 mask_r2=0.741 mask_auc=nan all_r2=0.745 all_auc=nan 0.5 step/s
