index,Ra,Dec,ref,klc_dup
416,11.96966,-51.42503,Diehl et al. 2017,1
417,11.991182,-52.917494,ODonnell22,1
418,11.998551,-38.445885,Stein21,1
419,12.038461685180664,3.385528326034546,Talbot,1
420,12.045044,-19.92056,Stein21,1
421,12.04644,-31.39869,Petrillo et al. 2019,1
422,12.086809158325195,28.10319328308105,Talbot,1
423,12.09770965576172,20.81326484680176,Talbot,1
424,12.1134,3.18808,Jacobs et al. 2019b,1
425,12.121125,-61.138363,Stein21,1
426,12.1605,-35.2322,Li21,1
427,12.192318,-40.97758,Stein21,1
428,12.241037368774414,4.874332427978516,Talbot,1
429,12.289609909057615,34.00497817993164,Talbot,1
430,12.29203,-33.24469000000001,Petrillo et al. 2019,1
431,12.29672908782959,5.199207305908203,Talbot,1
432,12.33172,-35.4585,Li21,1
433,12.41908,-54.24943,Diehl et al. 2017,1
434,12.423267364501951,6.254316806793213,Talbot,1
10272,12.4931099,2.45440469,Storfer 2023,2
436,12.505904197692873,1.7208900451660156,Talbot,1
437,12.53104,-18.64376,Huang et al. 2020a,1
438,12.536311,-46.15554,Stein21,1
439,12.5375,10.937222222222225,Canameras et al. 2020,1
440,12.55113,-46.8621,Jacobs et al. 2019b,1
441,12.56969165802002,11.598682403564451,Talbot,1
442,12.61427,-51.6663,Diehl et al. 2017,1
443,12.615394592285156,1.2044750452041626,Talbot,1
444,12.670641899108888,7.984424114227295,Talbot,1
9435,12.7302,-17.3424,Huang 2022,2
446,12.743558883666992,6.655801773071289,Talbot,1
447,12.775472,-36.45672,Stein21,1
448,12.901972770690918,-5.495211124420166,Talbot,1
449,13.02912712097168,6.399062633514404,Talbot,1
450,13.04313,4.55925,RCS2 J0052+0433,1
11008,13.05368043,-46.84083089,Storfer 2023,2
452,13.116166,-20.850668,Stein21,1
453,13.173,-28.68961,Petrillo et al. 2019,1
454,13.31169,-48.80682,Diehl et al. 2017,1
455,13.323360443115234,0.1487584114074707,Talbot,1
456,13.342227,29.775053,Stein21,1
457,13.40746,-30.5145,Petrillo et al. 2019,1
458,13.408021,0.9213255,Stein21,1
459,13.41314,-5.03359,Jacobs et al. 2019b,1
460,13.41403,-29.93937,Petrillo et al. 2019,1
461,13.432625,25.26576,Stein21,1
462,13.484841,1.929614,SuGOHI8,1
463,13.498377,34.042151,Savary22,1
464,13.5148,-28.40404,Petrillo et al. 2019,1
465,13.539087,-56.39495,Stein21,1
466,13.595720000000002,-5.7105,Huang et al. 2020a,1
467,13.61897,-46.61549,Diehl et al. 2017,1
468,13.67557,-29.214440000000003,Petrillo et al. 2019,1
469,13.69911766052246,26.4194450378418,Talbot,1
470,13.721449,2.423029,SuGOHI8,1
471,13.755308,13.823887,Stein21,1
472,13.763470000000002,-31.30885,Petrillo et al. 2019,1
473,13.78288,-33.59474,Petrillo et al. 2019,1
474,13.78327,-27.402073,Stein21,1
475,13.84939,-29.49796,Petrillo et al. 2019,1
476,13.86865,-30.69241,Petrillo et al. 2019,1
10273,13.87232329,-61.15770038,Storfer 2023,2
478,13.89787,-29.88162,Petrillo et al. 2019,1
479,13.91815,-30.48673,Petrillo et al. 2019,1
480,13.92636,-1.0691700000000002,Huang et al. 2020a,1
481,13.94677,-31.65982,Petrillo et al. 2019,1
482,13.9873,-0.64955,Huang et al. 2020a,1
483,14.01051,3.01518,Huang et al. 2020a,1
484,14.01184,-30.07568,Petrillo et al. 2019,1
485,14.0683,-1.3924,Huang et al. 2020a,1
486,14.07303,-2.42619,Huang et al. 2020a,1
11015,14.12793223,-0.1900114269,Storfer 2023,2
488,14.13803,-23.080074,Stein21,1
489,14.21105,-41.29355,Jacobs et al. 2019b,1
490,14.23325,-30.42193,Petrillo et al. 2019,1
10418,14.25206473,-54.28230715,Storfer 2023,2
492,14.261690139770508,-6.615470409393311,Talbot,1
493,14.32895,-30.91721,Petrillo et al. 2019,1
494,14.339,-28.44439,Petrillo et al. 2019,1
495,14.352429999999998,-31.18158,Petrillo et al. 2019,1
496,14.36612,2.15944,RCS2 J0057+0209,1
497,14.38441,-32.39556,Petrillo et al. 2019,1
498,14.396567344665527,4.658842086791992,Talbot,1
499,14.39678,-59.08847,Jacobs et al. 2019b,1
500,14.40366,-48.804,Diehl et al. 2017,1
9447,14.4115,-29.9751,Huang 2022,2
502,14.435790061950684,11.964888572692873,Talbot,1
503,14.44523,-16.74573,Huang et al. 2020a,1
504,14.48981,-30.98366,Petrillo et al. 2019,1
505,14.520229999999998,-23.28713,Jacobs et al. 2019b,1
506,14.526111602783203,11.02614402770996,Talbot,1
507,14.59987,-30.82963,Petrillo et al. 2019,1
508,14.61986,-0.46274,Huang et al. 2020a,1
509,14.63356,1.5832906,Stein21,1
510,14.64465,-52.03323,Jacobs et al. 2019b,1
511,14.649020000000002,-32.96703,Petrillo et al. 2019,1
512,14.676479999999998,-29.81067,Petrillo et al. 2019,1
513,14.69344,-33.56031,Petrillo et al. 2019,1
514,14.69796,0.23549,Huang et al. 2020a,1
515,14.702191,-28.011399,ODonnell22,1
516,14.712681,-13.533142,Stein21,1
517,14.71546,-33.03577,Petrillo et al. 2019,1
518,14.715979999999998,-0.35091,Huang et al. 2020a,1
519,14.7385,-31.0228,Petrillo et al. 2019,1
520,14.74944,-49.24327,Diehl et al. 2017,1
521,14.828538,-33.03296,Stein21,1
522,14.906632,1.125495,SuGOHI8,1
523,14.98036,-30.03101,Petrillo et al. 2019,1
