name,RA,DEC,grade,score,resnet_model,region,probability,tractor_type,spec_z,photo_z,score_l18,sep_l18,in_parent_l18,score_shielded,sep_shielded,in_parent_shielded,in_training,score_combined,in_parent_combined
DESI-109.9255+57.3569,109.9255,57.3569,A,4.0,l18,MzLS,0.21,DC,,0.747+/-0.044,0.8932919502258301,0.1734832837374495,True,0.9842910766601562,0.1734832837374495,True,True,0.9842910766601562,True
DESI-110.4891+49.8801,110.4891,49.8801,A,4.0,l18,MzLS,0.16,DC,,0.430+/-0.022,0.9968158602714539,0.047359015301839454,True,0.9749450087547302,0.047359015301839454,True,True,0.9968158602714539,True
DESI-111.9670+30.2010,111.967,30.201,A,3.5,shielded,DECaLS,0.23,REX,0.1527,,0.9098594784736633,0.5886516988301395,True,0.943580687046051,0.5886516988301395,True,False,0.943580687046051,True
DESI-115.3417+37.4889,115.3417,37.4889,A,3.5,l18,MzLS,0.96,DC,0.6031,,0.9953047037124634,0.061354867805264064,True,0.9445335865020752,0.061354867805264064,True,True,0.9953047037124634,True
DESI-116.3092+33.6326,116.3092,33.6326,A,3.5,l18,MzLS,0.33,DC,0.5642,,0.835185170173645,0.1992393215364593,True,0.9780741930007935,0.1992393215364593,True,True,0.9780741930007935,True
DESI-118.4491+20.9528,118.4491,20.9528,A,4.0,l18,DECaLS,0.99,DC,0.5866,,0.9996914863586426,0.03976111372609096,True,0.9994945526123047,0.03976111372609096,True,True,0.9996914863586426,True
DESI-118.8480+34.7610,118.848,34.761,A,4.0,l18,MzLS,1.0,DC,0.7224,,0.9999920129776001,0.1484034466517615,True,0.99993896484375,0.1484034466517615,True,True,0.9999920129776001,True
DESI-130.6476+30.3670,130.6476,30.367,A,3.5,l18,DECaLS,0.33,DC,0.5041,,0.49324309825897217,11.89416007091952,False,0.7315254211425781,11.89416007091952,False,True,0.7315254211425781,False
DESI-131.6362-01.9047,131.6362,-1.9047,A,3.5,l18,DECaLS,1.0,DC,0.5422,,0.9998531341552734,0.1401214627205157,True,0.9981441497802734,0.1401214627205157,True,True,0.9998531341552734,True
DESI-134.3046+16.4322,134.3046,16.4322,A,3.5,l18,DECaLS,0.38,DC,0.4441,,0.9986149072647095,0.04991297563773069,True,0.9973270893096924,0.04991297563773069,True,True,0.9986149072647095,True
DESI-139.5922+61.1759,139.5922,61.1759,A,3.5,l18,MzLS,0.29,REX,,0.242+/-0.062,0.42149919271469116,3.0841472433594723,True,0.5711368322372437,3.0841472433594723,True,True,0.5711368322372437,True
DESI-141.4491+37.3023,141.4491,37.3023,A,3.5,l18,MzLS,0.65,DC,0.5527,,0.9961511492729187,0.15362680610422935,True,0.9809498190879822,0.15362680610422935,True,True,0.9961511492729187,True
DESI-142.0189+20.5292,142.0189,20.5292,A,3.5,l18,DECaLS,0.2,DC,,0.198+/-0.006,0.989449679851532,0.03692915306525378,True,0.9939765930175781,0.03692915306525378,True,True,0.9939765930175781,True
DESI-142.9212-06.7297,142.9212,-6.7297,A,4.0,l18,DECaLS,0.1,REX,,0.264+/-0.032,0.8990443348884583,0.19485747478235574,True,0.9842602610588074,0.19485747478235574,True,True,0.9842602610588074,True
DESI-147.9185+07.5090,147.9185,7.509,A,4.0,l18,DECaLS,0.15,DC,0.3527,,0.9822728037834167,0.10285698279932609,True,0.9499086141586304,0.10285698279932609,True,True,0.9822728037834167,True
DESI-148.1676+34.5795,148.1676,34.5795,A,4.0,shielded,MzLS,0.5,DC,0.3963,,0.24982362985610962,0.08709054773759697,True,0.8687124252319336,0.08709054773759697,True,False,0.8687124252319336,True
DESI-151.1424+41.2121,151.1424,41.2121,A,4.0,l18,MzLS,0.3,DC,0.5934,,0.8996305465698242,0.056287599588276394,True,0.8194050788879395,0.056287599588276394,True,True,0.8996305465698242,True
DESI-151.2154-00.5291,151.2154,-0.5291,A,3.5,shielded,DECaLS,1.0,REX,0.6335,,0.008810820989310741,13.049528899041022,False,0.018565556034445763,13.049528899041022,False,False,0.018565556034445763,False
DESI-151.7182-07.9276,151.7182,-7.9276,A,4.0,l18,DECaLS,0.99,DC,,0.569+/-0.025,0.9921960830688477,0.05844264373013325,True,0.9859104156494141,0.05844264373013325,True,True,0.9921960830688477,True
DESI-153.7269+44.2610,153.7269,44.261,A,3.5,shielded,MzLS,0.54,REX,0.2971,,0.00032566863228566945,21.213673999628337,False,0.0006809263722971082,21.213673999628337,False,False,0.0006809263722971082,False
