name,RA,DEC,grade,nearest_row_id,nearest_sep_arcsec,nearest_score,in_scored_set
DESI-015.0721+00.0027,15.0721,0.0027,B,330428_5048,0.12784907147260088,0.07004010677337646,True
DESI-015.2668-17.5344,15.2668,-17.5344,B,231124_2990,0.19600551001950103,0.7822829484939575,True
DESI-015.2991+00.1673,15.2991,0.1673,B,331869_1976,0.15491586786602005,0.3538094758987427,True
DESI-015.3533-17.0192,15.3533,-17.0192,B,233878_3094,0.12317188679819696,0.9367784261703491,True
DESI-015.3806+00.5700,15.3806,0.57,B,333309_8279,0.11186989489699403,0.9998387098312378,True
DESI-015.4415+03.2399,15.4415,3.2399,B,349149_3373,0.09821491651368006,0.012767430394887924,True
DESI-015.5430-00.3184,15.543,-0.3184,B,328990_2155,0.09579509320627222,0.9932308197021484,True
DESI-015.6201-00.4207,15.6201,-0.4207,B,327550_8051,0.12137499135872301,0.8292452692985535,True
DESI-015.6531-00.0963,15.6531,-0.0963,B,330430_1181,0.19942680978357746,0.14714299142360687,True
DESI-015.9831+00.3187,15.9831,0.3187,B,331871_7259,0.066244458792079,0.9919249415397644,True
DESI-016.1439-00.5185,16.1439,-0.5185,B,327552_4082,0.12239014408553853,0.9914920926094055,True
DESI-016.2119+00.4207,16.2119,0.4207,B,333312_1877,0.20877160035363881,0.09246163815259933,True
DESI-016.2273+00.0668,16.2273,0.0668,B,330432_6101,0.23511448977490745,0.95750492811203,True
DESI-016.2921-18.3895,16.2921,-18.3895,B,225643_7502,0.08186992740255417,0.9855191707611084,True
DESI-016.3969+00.1169,16.3969,0.1169,B,330433_8618,5.213814325865237,0.3441421687602997,False
DESI-016.5355-00.2139,16.5355,-0.2139,B,328994_5743,0.17790627923179372,0.3728441894054413,True
DESI-016.7876+01.2914,16.7876,1.2914,B,337635_4780,0.11964430975280212,0.9386394023895264,True
DESI-016.8597+03.2136,16.8597,3.2136,B,349155_2430,0.11733627093811161,0.9953415393829346,True
DESI-016.9695-14.4480,16.9695,-14.448,B,247751_4447,0.12358299447094678,0.9999806880950928,True
DESI-017.0297-03.5796,17.0297,-3.5796,B,310280_1091,0.15273810661583848,0.9183154702186584,True
DESI-017.4350-14.6600,17.435,-14.66,B,246359_5814,0.10388020124155857,0.9844138622283936,True
DESI-017.5240-02.5417,17.524,-2.5417,B,316038_2263,0.18705049466393256,0.8630784153938293,True
DESI-018.0754-04.5830,18.0754,-4.583,B,304534_1002,0.027904737048564183,0.9989751577377319,True
DESI-018.1714-19.0457,18.1714,-19.0457,B,222920_1970,0.13732571339003086,0.9999215602874756,True
DESI-018.2548-03.7210,18.2548,-3.721,B,308846_4570,0.14996421523524348,0.8218464255332947,True
DESI-018.4039-18.9942,18.4039,-18.9942,B,222921_3908,0.19704279429324542,0.9993888139724731,True
DESI-020.4712-17.9274,20.4712,-17.9274,B,228398_5626,0.12816452132938777,0.7797281742095947,True
DESI-020.7598-13.2227,20.7598,-13.2227,B,254760_4052,0.12484402565968497,0.9820789694786072,True
DESI-022.3389+00.6547,22.3389,0.6547,B,334777_1048,0.21018243289767505,0.9838999509811401,True
DESI-023.6765+04.5639,23.6765,4.5639,B,356372_4364,0.17417759888756662,0.9999580383300781,True
DESI-029.0400-10.4926,29.04,-10.4926,B,270304_4007,0.15687955433502115,0.9999450445175171,True
DESI-034.9916-14.9460,34.9916,-14.946,B,245035_5553,0.12233270370958524,0.9992693066596985,True
DESI-035.0816-04.1971,35.0816,-4.1971,B,306038_6052,0.16336438201439582,0.9534523487091064,True
DESI-035.7821-05.4661,35.7821,-5.4661,B,298862_5784,0.13848388402651982,0.940406858921051,True
DESI-036.0677-16.3767,36.0677,-16.3767,B,236716_6395,0.14588726879605887,0.999954342842102,True
DESI-036.2542-05.6058,36.2542,-5.6058,B,298864_502,0.05545573213305807,0.761478841304779,True
DESI-036.3915-05.0365,36.3915,-5.0365,B,301735_4331,10.240752640894636,0.30903202295303345,False
DESI-036.4490-15.0922,36.449,-15.0922,B,245040_662,0.16434198651108528,0.9997712969779968,True
DESI-037.0236-05.2927,37.0236,-5.2927,B,300301_3499,0.174262989963105,0.9995433688163757,True
DESI-038.9951-06.0696,38.9951,-6.0696,B,296007_1460,0.23349669594005504,0.0855831727385521,True
DESI-040.5720-16.4116,40.572,-16.4116,B,236733_4608,0.17175435490689178,0.9030671715736389,True
DESI-040.7053-00.5888,40.7053,-0.5888,B,327650_1638,0.12572334408130614,0.9590802788734436,True
DESI-040.8111-00.1499,40.8111,-0.1499,B,329091_9558,0.24184686444426737,0.9921455979347229,True
DESI-041.4742-00.7052,41.4742,-0.7052,B,326213_6948,0.18841049526998865,0.7718928456306458,True
DESI-041.9391-00.5247,41.9391,-0.5247,B,327655_4034,0.12152951357723685,0.9993605017662048,True
DESI-046.4723-14.8812,46.4723,-14.8812,B,245079_6759,0.09171072094784478,0.06119626760482788,True
DESI-047.7087-17.7748,47.7087,-17.7748,B,229874_2324,0.1500911371358116,0.9999971389770508,True
DESI-047.7647-13.2341,47.7647,-13.2341,B,254866_3516,0.12366528583274651,0.5152808427810669,True
DESI-060.0471-15.8799,60.0471,-15.8799,B,239575_7979,0.09872296220682761,0.947099506855011,True
DESI-060.8033-15.2161,60.8033,-15.2161,B,243743_4486,0.16240620987429744,0.9987181425094604,True
DESI-060.8089-15.0458,60.8089,-15.0458,B,245135_2270,0.16181695050741596,0.9823188185691833,True
DESI-061.1134-17.2082,61.1134,-17.2082,B,232675_5047,0.12289098092824788,0.9590086936950684,True
DESI-061.1909-14.5760,61.1909,-14.576,B,247923_1240,0.12742450194348506,0.835390567779541,True
DESI-063.6323-04.5427,63.6323,-4.5427,B,304715_2668,0.027344154577187006,0.7958466410636902,True
DESI-131.3607+00.0361,131.3607,0.0361,B,330893_4286,0.13018353543284275,0.7489018440246582,True
DESI-134.0057-07.2488,134.0057,-7.2488,B,289228_2630,0.1926980198274175,0.9999750852584839,True
DESI-135.9714+07.1954,135.9714,7.1954,B,372590_1332,4.628801313649716,0.9991222023963928,True
DESI-140.8863+20.3278,140.8863,20.3278,B,445289_4071,0.1274795880926205,0.8739526271820068,True
DESI-143.0565-05.6041,143.0565,-5.6041,B,299289_637,0.1883454755334127,0.9871614575386047,True
DESI-144.1511+08.8633,144.1511,8.8633,B,381188_4298,0.17934130816714422,0.9999500513076782,True
DESI-144.4242+31.4659,144.4242,31.4659,B,503625_1700,0.16351374203273253,0.9999781847000122,True
DESI-144.6321-04.2535,144.6321,-4.2535,B,306475_3707,0.11949966826864719,0.9987090826034546,True
DESI-145.0099+05.4279,145.0099,5.4279,B,362599_1341,0.06790466716164141,0.999925971031189,True
DESI-150.0945+00.0047,150.0945,0.0047,B,330968_5583,0.11031255714589872,0.997410237789154,True
DESI-150.8860-02.9493,150.886,-2.9493,B,313691_7588,0.12902645675578361,0.9999347925186157,True
DESI-154.5307-00.1368,154.5307,-0.1368,B,329546_9093,0.1738123135834732,0.9989539384841919,True
DESI-154.7654+17.0697,154.7654,17.0697,B,427570_3185,0.14891316420138012,0.9712319374084473,True
DESI-155.4865+11.2037,155.4865,11.2037,B,395428_1553,0.19056782530432706,0.9965426325798035,True
DESI-157.9622+01.7544,157.9622,1.7544,B,341079_3160,0.06305145169790263,0.8997888565063477,True
DESI-158.7893-02.3037,158.7893,-2.3037,B,318043_3279,0.137076419021618,0.999990701675415,True
DESI-167.8517+14.1473,167.8517,14.1473,B,412347_304,0.14833321452408768,0.9390014410018921,True
DESI-170.6983+25.2669,170.6983,25.2669,B,471996_3403,0.21832416356979986,0.9936187267303467,True
DESI-192.0242-06.5158,192.0242,-6.5158,B,293751_2752,0.20310516519000998,0.9765387177467346,True
DESI-194.5900+15.6322,194.59,15.6322,B,420808_144,0.07449053873228474,0.9952585101127625,True
DESI-194.8376+11.6490,194.8376,11.649,B,398408_483,0.1537949052734499,0.490028977394104,True
DESI-201.7783+02.2129,201.7783,2.2129,B,344135_2179,0.6911675088015468,0.9123072624206543,True
DESI-201.7841-02.2996,201.7841,-2.2996,B,318215_2668,0.08786455229625942,0.999984622001648,True
DESI-202.3729+31.3290,202.3729,31.329,B,502591_3764,0.6562812650110577,0.9992914199829102,True
DESI-204.1663-05.7814,204.1663,-5.7814,B,298099_1899,0.06227190483781287,0.41273802518844604,True
DESI-204.6057+28.3294,204.6057,28.3294,B,487573_4028,0.2041523343287634,0.9999884366989136,True
