rank,is_new,rank_within_new,row_id,RA,DEC,mean5,footprint,brick,sep_arcsec,klc_ra,klc_dec,klc_index,klc_ref,klc_dup,klc_catalog
3542,1,1921.0,s_505046_3233,200.70314183274095,31.654996208706343,0.3681192385498434,south,2006p317,0.12905933601827838,200.7031826,31.65498721,10780,Storfer 2023,1,klc_clean250629ymh
542,0,,s_264802_5185,69.00067322060052,-11.547675493093449,0.454957927763462,south,0689m115,0.129248854484482,69.0007,-11.5477,9037,Huang 2022,1,klc_clean250629ymh
916,0,,s_213512_10301,39.77697466405257,-20.788373238839576,0.430722382478416,south,0396m207,0.129438291706232,39.77696,-20.78834,1990,Jacobs et al. 2019b,1,klc_clean250629ymh
1915,1,856.0,s_48658_3750,318.88151645810876,-58.64284058935378,0.3964774930849671,south,3189m587,0.12958181273360567,318.88147999999995,-58.64281,7553,Diehl et al. 2017,1,klc_clean250629ymh
35868,1,29885.0,s_318086_7292,169.74416314230675,-2.28921583550855,0.2654409840935841,south,1696m022,0.12979910578335238,169.74415588378906,-2.289180517196656,4648,Talbot,1,klc_clean250629ymh
4649,1,2727.0,s_200057_5294,14.520214787605363,-23.28716324313668,0.3561713250586763,south,0145m232,0.12981752602250315,14.520229999999998,-23.28713,505,Jacobs et al. 2019b,1,klc_clean250629ymh
973,1,325.0,s_433913_4388,15.204920382023223,18.307730476336296,0.428334429115057,south,0151p182,0.12996165171219035,15.2049,18.3077,9185,Huang 2022,1,klc_clean250629ymh
83835,1,74037.0,s_99809_674,325.4160564390843,-44.453281650675365,0.2293891431254451,south,3255m445,0.12997842353748498,325.4161,-44.4533,10844,Storfer 2023,1,klc_clean250629ymh
29126,1,23762.0,s_322573_632,211.2713937676965,-1.4919090385196492,0.2743751051835715,south,2113m015,0.12998715669926242,211.271396,-1.491873,6101,SuGOHI6,1,klc_clean250629ymh
61080,1,52937.0,s_144491_2453,357.40320700844353,-34.41736943248289,0.2428848404437303,south,3574m345,0.1302827964883488,357.4031700000001,-34.41735,8880,Petrillo et al. 2019,1,klc_clean250629ymh
66790,1,58227.0,s_174330_6459,78.42023609454517,-28.23511731231779,0.2391269447747618,south,0783m282,0.13034500734135304,78.4202,-28.2351,9809,Huang 2022,1,klc_clean250629ymh
12465,1,9037.0,s_32176_2057,325.14372448834797,-64.83341689180719,0.3112673211318906,south,3253m647,0.13061991435262219,325.1438,-64.8334,10843,Storfer 2023,1,klc_clean250629ymh
113991,1,101877.0,s_319628_4432,195.15748768505125,-1.9435341416144536,0.2163371542847016,south,1951m020,0.1306523954250673,195.1575,-1.9435,5622,SuGOHI5,1,klc_clean250629ymh
52926,0,,s_196153_6163,29.919829674637445,-24.019724177982106,0.2489974357653409,south,0299m240,0.130757558007588,29.9198,-24.0197,9206,Huang 2022,1,klc_clean250629ymh
14322,1,10613.0,s_91898_10882,39.93362270628815,-46.3446604303242,0.305147342843702,south,0397m462,0.13099204622106583,39.93357,-46.34466,2000,Jacobs et al. 2019b,1,klc_clean250629ymh
1116,0,,s_68459_7017,50.56842749902883,-52.57791038240775,0.4221171498298645,south,0505m525,0.13122368723920644,50.56837,-52.5779,2357,Jacobs et al. 2019b Diehl et al. 2017,1,klc_clean250629ymh
109120,1,97399.0,s_334040_5702,198.1932171903241,0.5182541092965881,0.2182092399452813,south,1981p005,0.13123475048241376,198.19325,0.51827,5683,Petrillo et al. 2019,1,klc_clean250629ymh
14672,0,,s_36700_530,347.9904481204408,-63.11756824648979,0.3040892533957958,south,3482m630,0.13124933794037044,347.990373,-63.117555,8493,ODonnell22,1,klc_clean250629ymh
9012,0,,s_139803_8087,12.160495387903282,-35.23223626324124,0.3262067694682627,south,0120m352,0.13125023756257095,12.1605,-35.2322,426,Li21,1,klc_clean250629ymh
2245,1,1062.0,s_413750_488,169.18815646904582,14.395194918813951,0.3897178612998687,south,1692p145,0.13128370079289536,169.18812561035156,14.395174026489258,4634,Talbot,1,klc_clean250629ymh
69097,1,60361.0,s_440004_2296,179.85117266896924,19.256151460136554,0.2376888285391032,south,1798p192,0.13132676081627723,179.8511962890625,19.256122589111328,5046,Talbot,1,klc_clean250629ymh
6922,0,,s_180578_8866,39.98630851991492,-27.120764303797756,0.3384813905227929,south,0398m270,0.13137399365638544,39.9863,-27.1208,9627,Huang 2022,1,klc_clean250629ymh
