,Index,Image,Name,Tractor Type,Score,Score Diff,Probability,Spec,Photo-z,ResNet Model,Ref,g mag,r mag,z mag,Region
468,469,,DESI-009.5831-22.7369,DC,2.5,1,0.34,,0.669+/-0.037,L18,,23.23,21.32,19.78,DECaLS
469,470,,DESI-009.6186-25.3693,REX,2,2,0.29,,0.695+/-0.068,shielded,,21.62,20.51,19.37,DECaLS
470,471,,DESI-009.6226-36.7634,REX,2,2,0.37,,0.761+/-0.121,shielded,,21.19,20.32,19.28,DECaLS
471,472,,DESI-009.6721-07.4138,DC,2,0,0.5,0.2798,,shielded,,20.06,18.54,17.65,DECaLS
472,473,,DESI-009.7395-07.7564,DC,2.5,1,0.84,0.4099,,shielded,,20.61,18.75,17.73,DECaLS
473,474,,DESI-010.3697-51.0101,REX,2,2,0.39,,0.694+/-0.038,shielded,,21.45,20.39,19.31,DECaLS
474,475,,DESI-010.4341-23.6515,DC,2.5,1,1.0,0.3905,,L18,,19.71,17.91,16.93,DECaLS
475,476,,DESI-010.5365-09.9688,DC,2,0,0.17,0.4173,,L18,,20.63,19.2,18.26,DECaLS
476,477,,DESI-010.5692-05.5844,DC,2,0,1.0,0.2764,,L18,,21.78,20.96,19.2,DECaLS
477,478,,DESI-010.6237-15.1890,DC,2.5,1,0.49,,0.407+/-0.011,L18,,20.27,18.42,17.47,DECaLS
478,479,,DESI-011.0120+28.5026,REX,2,2,0.55,0.6125,,shielded,,21.54,20.71,19.39,DECaLS
479,480,,DESI-011.1176-09.8211,DC,2,0,0.29,0.5485,,L18,,22.4,20.42,18.91,DECaLS
480,481,,DESI-011.6128-26.6737,DC,2.5,1,0.76,,0.399+/-0.117,L18,,20.47,18.67,17.75,DECaLS
481,482,,DESI-011.6341-32.5680,REX,2,2,0.27,,0.734+/-0.038,shielded,,22.07,21.01,19.83,DECaLS
482,483,,DESI-012.5414-15.3948,DC,2,0,0.1,,0.458+/-0.045,L18,,21.15,19.46,18.4,DECaLS
483,484,,DESI-012.6879+05.1953,DC,2,0,0.95,0.394,,L18,,20.56,18.92,18.0,DECaLS
484,485,,DESI-012.7302-17.3424,DC,2,0,0.94,,0.683+/-0.028,shielded,d,22.52,20.68,19.12,DECaLS
485,486,,DESI-013.0309-62.2004,REX,2,0,0.28,,0.751+/-0.039,shielded,,21.68,20.78,19.78,DECaLS
486,487,,DESI-013.0826-21.4621,DC,2.5,1,0.82,,0.533+/-0.041,L18,,21.0,19.61,18.62,DECaLS
487,488,,DESI-013.3666-16.0988,DC,2.5,1,0.63,,0.680+/-0.100,L18,,21.49,20.22,18.92,DECaLS
488,489,,DESI-013.4834-25.7652,REX,2,2,0.72,,0.605+/-0.023,shielded,,20.95,19.7,18.66,DECaLS
489,490,,DESI-014.0464+00.1260,REX,2,2,0.37,0.4563,,shielded,,21.88,21.17,19.76,DECaLS
490,491,,DESI-014.1862-18.9657,DC,2,0,0.96,,0.410+/-0.029,L18,,21.45,19.64,18.64,DECaLS
491,492,,DESI-014.2189-16.4016,DC,2.5,1,0.97,,0.359+/-0.013,L18,,20.36,18.66,17.77,DECaLS
492,493,,DESI-014.2352-25.7746,DC,2,0,0.97,,0.606+/-0.010,L18,,21.7,19.83,18.4,DECaLS
493,494,,DESI-014.2478-14.0421,DC,2,0,0.94,,0.426+/-0.036,L18,,20.16,18.42,17.45,DECaLS
494,495,,DESI-014.2970-13.2907,DC,2.5,1,0.57,,0.388+/-0.026,L18,,20.51,18.84,17.92,DECaLS
495,496,,DESI-014.3439-25.1811,DC,2.5,1,0.97,,0.535+/-0.037,shielded,,20.61,19.14,18.07,DECaLS
496,497,,DESI-014.4115-29.9751,DC,2.5,1,0.97,,0.723+/-0.023,L18,,21.1,19.29,17.6,DECaLS
497,498,,DESI-014.6510-23.5443,DC,2,0,0.73,,0.513+/-0.051,shielded,,21.17,19.78,18.83,DECaLS
498,499,,DESI-014.6810-05.0260,DC,2,0,0.88,0.5929,,L18,,21.55,20.62,19.09,DECaLS
499,500,,DESI-014.8630-23.2117,DC,2,0,0.37,,0.852+/-0.076,L18,,21.45,20.5,18.99,DECaLS
500,501,,DESI-014.9525-24.7056,DC,2.5,1,0.69,,0.210+/-0.021,shielded,,19.4,18.08,17.23,DECaLS
501,502,,DESI-014.9575-05.5838,DC,2.5,1,0.99,0.5091,,L18,,21.77,20.23,18.98,DECaLS
502,503,,DESI-014.9799-18.4828,REX,2,2,0.19,,0.850+/-0.056,shielded,,21.41,20.7,19.6,DECaLS
503,504,,DESI-015.4277-15.0401,DC,2.5,1,0.98,,0.646+/-0.029,L18,,21.65,20.08,18.74,DECaLS
504,505,,DESI-015.6198-20.2297,DC,2.5,1,1.0,,0.414+/-0.033,L18,,20.71,19.01,18.08,DECaLS
505,506,,DESI-015.6786-23.9439,DC,2,0,0.82,,0.799+/-0.270,L18,,22.43,20.56,18.96,DECaLS
506,507,,DESI-015.9876-07.1360,DC,2.5,1,1.0,0.4384,,L18,,20.88,19.17,18.1,DECaLS
507,508,,DESI-016.3301-16.4985,DC,2,0,0.52,,0.507+/-0.062,L18,,21.49,19.89,18.85,DECaLS
